PARL10,PARL25,overlap_area,original_area,percentage_overlap_area,percentage_overlap_pop,overlap_pop,original_pop,__index_level_0__
E14000613,UKPARL.2025.BES,262628904.34,502066954.7,0.52,0.77,91793.23,118910.0,690
E14000613,UKPARL.2025.CSI,29645160.63,502066954.7,0.06,0.07,7942.24,118910.0,170
E14000613,UKPARL.2025.WAV,183810378.77,502066954.7,0.37,0.14,16890.53,118910.0,595
E14000613,UKPARL.2025.WSF,25968054.45,502066954.7,0.05,0.02,2284.0,118910.0,143
E14000614,UKPARL.2025.CAV,302400751.28,306260316.96,0.99,0.96,101303.75,105249.47,1116
E14000614,UKPARL.2025.HFX,3821178.55,306260316.96,0.01,0.04,3945.71,105249.47,15
E14000615,UKPARL.2025.BOS,131021.96,11405166.47,0.01,0.01,1357.6,131424.0,6
E14000615,UKPARL.2025.DWN,1102697.42,11405166.47,0.1,0.08,11108.97,131424.0,276
E14000615,UKPARL.2025.LWW,2592465.69,11405166.47,0.23,0.13,17410.8,131424.0,472
E14000615,UKPARL.2025.PKM,6586060.58,11405166.47,0.58,0.65,85800.27,131424.0,721
E14000615,UKPARL.2025.VCG,985818.74,11405166.47,0.09,0.12,15746.37,131424.0,253
E14000616,UKPARL.2025.CRR,213413958.05,279279270.13,0.76,0.93,87002.67,94032.84,859
E14000616,UKPARL.2025.STV,47867126.87,279279270.13,0.17,0.04,3549.98,94032.84,415
E14000616,UKPARL.2025.TRF,17994439.18,279279270.13,0.06,0.04,3480.19,94032.84,189
E14000617,UKPARL.2025.CBG,32323343.78,36183412.69,0.89,0.93,107578.0,115640.99,976
E14000617,UKPARL.2025.SCB,3848107.67,36183412.69,0.11,0.07,8062.99,115640.99,294
E14000618,UKPARL.2025.CKC,78855723.71,78883324.84,1.0,1.0,100762.0,100762.0,1219
E14000619,UKPARL.2025.CTB,234312847.69,248696845.18,0.94,0.95,114542.0,120604.0,1042
E14000619,UKPARL.2025.HBS,14355458.04,248696845.18,0.06,0.05,6062.0,120604.0,164
E14000620,UKPARL.2025.CAR,71418402.01,210563724.07,0.34,0.9,78330.44,86843.0,574
E14000620,UKPARL.2025.PEN,139145322.06,210563724.07,0.66,0.1,8512.56,86843.0,783
E14000621,UKPARL.2025.CAW,25463529.57,25496812.88,1.0,1.0,103116.73,103283.54,1154
E14000622,UKPARL.2025.CPT,44660867.81,44674759.66,1.0,1.0,90376.0,90376.0,1234
E14000623,UKPARL.2025.CDV,1366765306.04,1413483780.54,0.97,0.97,92012.93,94467.0,1079
E14000623,UKPARL.2025.EXM,29541923.96,1413483780.54,0.02,0.02,2173.0,94467.0,46
E14000623,UKPARL.2025.TAV,17101836.96,1413483780.54,0.01,0.0,281.07,94467.0,13
E14000624,UKPARL.2025.CSI,491376651.58,796241811.05,0.62,0.82,84009.38,102808.0,747
E14000624,UKPARL.2025.WAV,304790280.32,796241811.05,0.38,0.18,18798.62,102808.0,611
E14000625,UKPARL.2025.MAS,80238552.0,171526165.53,0.47,0.33,34758.0,104322.0,662
E14000625,UKPARL.2025.MLE,91242853.12,171526165.53,0.53,0.67,69564.0,104322.0,692
E14000626,UKPARL.2025.CTM,51667769.96,61457936.11,0.84,0.9,92671.0,102672.0,917
E14000626,UKPARL.2025.MDS,9760214.44,61457936.11,0.16,0.1,10001.0,102672.0,393
E14000627,UKPARL.2025.CDL,39348922.72,39371914.01,1.0,1.0,94532.61,94532.61,1179
